"MSID","A0","A1","A2","A3","A4","A5","B0","B1","B2","B3","B4","B5","GName50k","f0","dl0"
139,622853.46,0.9996736,-0.0168639,1.77E-009,-1.35E-009,2.90E-010,4567328.83,0.0168717,0.9996625,-1.10E-010,-6.00E-011,3.19E-009,"Κάρδαμος",41.15,1.45
140,324541.65,0.9997474,0.0224766,-2.03E-009,1.20E-009,-1.77E-009,4346298.09,-0.0225156,0.999773,5.70E-010,-3.30E-010,-2.15E-009,"Καρδίτσα",39.15,-1.45
141,411462.95,0.9996459,0.0115743,-8.80E-010,1.18E-009,5.00E-010,4400321.3,-0.0115678,0.9996399,2.70E-010,9.80E-010,-3.23E-009,"Καρίτσα",39.45,-0.45
142,673222.19,0.9997523,-0.0209967,2.19E-009,-2.90E-009,1.00E-010,4179714.24,0.0209118,0.9997518,1.02E-009,-2.60E-010,2.62E-009,"Καρκινάγριον",37.45,2.15
143,154430.02,1.0000479,0.0451055,-4.38E-009,4.15E-009,-5.20E-010,4407601.56,-0.0451088,1.0000568,2.00E-010,-5.00E-011,-8.31E-009,"Καρουσάδες",39.45,-3.45
144,768203.68,0.9999828,-0.0302224,5.11E-009,-3.53E-009,-1.21E-009,3960111.66,0.0302334,1.0000149,7.00E-011,-7.90E-010,7.81E-009,"Κάρπαθος",35.45,3.15
145,323299.2,0.9997464,0.0222371,-2.96E-009,1.99E-009,-4.80E-010,4290811.42,-0.0222404,0.9997713,2.10E-010,4.20E-010,-4.37E-009,"Καρπενήσιον",38.45,-1.45
146,497146.35,0.9996218,0.0004028,-1.70E-010,2.60E-010,2.70E-010,4455299.91,-0.0003894,0.99961,1.60E-010,1.30E-010,-2.70E-010,"Καρυαί",40.15,0.15
147,540805.9,0.9996381,-0.0050086,5.30E-010,7.00E-011,7.00E-011,4233471.85,0.0050258,0.9996628,-7.00E-011,6.70E-010,8.90E-010,"Κάρυστος",38.15,0.45
148,454626.92,0.9996202,0.0060327,-2.50E-010,4.40E-010,-3.00E-011,4455436.5,-0.0060317,0.9996166,6.00E-011,1.00E-010,-8.90E-010,"Κασσάνδρεια",40.15,-0.15
149,282959.49,0.999794,0.0283062,-3.10E-009,2.77E-009,-4.50E-010,4402883.53,-0.0283143,0.9997862,5.00E-011,-2.80E-010,-5.52E-009,"Καστανέα",39.45,-2.15
150,413415.77,0.9996366,0.0119018,-1.45E-009,8.50E-010,2.30E-010,4566809.57,-0.0119003,0.999631,-1.80E-010,-4.20E-010,-1.93E-009,"Καστανούσσα",41.15,-0.45
151,451456.89,0.9996228,0.005426,-9.40E-010,7.00E-010,4.00E-011,3900750.66,-0.0054257,0.9996142,-7.00E-011,5.00E-011,-1.39E-009,"Καστέλλιον",35.15,-0.15
152,286135.29,0.9997525,0.0288945,-2.58E-009,2.63E-009,-5.00E-011,4513884.8,-0.0288922,0.9997499,2.70E-010,-2.00E-010,-5.14E-009,"Καστοριά",40.45,-2.15
